abbreviation_subsector,subsector,variable_field,variable,area,energy,length,mass,monetary,power,volume,emission_gas
agrc,Agriculture,ef_agrc_anaerobicdom_rice_kg_ch4_ha,:math:\text{CH}_4 Crop Anaerobic Decomposition Emission Factor,ha,,,kg,,,,ch4
agrc,Agriculture,ef_agrc_biomass_bevs_and_spices_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,ha,,,tonne,,,,co2
agrc,Agriculture,ef_agrc_biomass_burning_ch4,:math:\text{CH}_4 Crop Biomass Burning Emission Factor,,,,,,,,ch4
agrc,Agriculture,ef_agrc_biomass_burning_n2o,:math:\text{N}_2\text{O} Crop Biomass Burning Emission Factor,,,,,,,,n2o
agrc,Agriculture,ef_agrc_biomass_fruits_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,ha,,,tonne,,,,co2
agrc,Agriculture,ef_agrc_biomass_nuts_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,ha,,,tonne,,,,co2
agrc,Agriculture,ef_agrc_biomass_other_woody_perennial_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,ha,,,tonne,,,,co2
agrc,Agriculture,elasticity_agrc_bevs_and_spices_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_cereals_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_fibers_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_fruits_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_herbs_and_other_perennial_crops_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_nuts_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_other_annual_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_other_woody_perennial_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_pulses_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_rice_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_sugar_cane_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_tubers_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,elasticity_agrc_vegetables_and_vines_demand_to_income,Crop Demand Income Elasticity,,,,,,,,
agrc,Agriculture,exports_agrc_bevs_and_spices_tonne,Agriculture Equivalent Exports,,,,tonne,,,,
agrc,Agriculture,exports_agrc_cereals_tonne,Agriculture Equivalent Exports,,,,tonne,,,,
agrc,Agriculture,exports_agrc_fibers_tonne,Agriculture Equivalent Exports,,,,tonne,,,,
agrc,Agriculture,exports_agrc_fruits_tonne,Agriculture Equivalent Exports,,,,tonne,,,,
agrc,Agriculture,exports_agrc_herbs_and_other_perennial_crops_tonne,Agriculture Equivalent Exports,,,,tonne,,,,
